code,bars,trades,win_rate_pct,pnl_jpy,return_pct,buy_hold_pct,max_dd_pct
285A0,318,1,100.0,103242766,1032.43,1420.69,-36.86
40630,488,3,66.7,2216790,22.17,-2.87,-15.54
45680,488,2,50.0,-1407247,-14.07,-52.45,-25.1
65010,488,4,75.0,162038,1.62,48.46,-24.21
67580,488,5,40.0,2415255,24.15,21.88,-21.44
68610,488,5,40.0,-979953,-9.8,-4.41,-22.49
72030,488,3,66.7,1061620,10.62,10.76,-19.72
80580,488,1,100.0,9009259,90.09,68.85,-15.81
83060,488,2,100.0,3621642,36.22,69.12,-32.31
94330,488,4,0.0,-2069678,-20.7,14.5,-24.13
99840,488,2,50.0,9387517,93.88,62.56,-43.17
