code,bars,trades,win_rate_pct,pnl_jpy,return_pct,buy_hold_pct,max_dd_pct
285A0,318,1,100.0,103242766,1032.43,1782.57,-36.86
40630,488,3,66.7,2216790,22.17,0.24,-15.54
45680,488,2,50.0,-1407247,-14.07,-38.77,-25.1
65010,488,4,75.0,162038,1.62,65.35,-24.21
67580,488,5,40.0,2415255,24.15,29.33,-21.44
68610,488,5,40.0,-979953,-9.8,-3.43,-22.49
72030,488,3,66.7,1061620,10.62,-12.22,-19.72
80580,488,1,100.0,9009259,90.09,47.54,-15.81
83060,488,2,100.0,3621642,36.22,81.89,-32.31
94330,488,4,0.0,-2069678,-20.7,19.95,-24.13
99840,488,2,50.0,9387517,93.88,78.9,-43.17
