date,code,action,confidence
2024-04-11,40630,hold,0.5
2024-04-11,45680,hold,0.5
2024-04-11,65010,hold,0.5
2024-04-11,67580,hold,0.5
2024-04-11,68610,hold,0.5
2024-04-11,72030,hold,0.5
2024-04-11,80580,hold,0.5
2024-04-11,83060,hold,0.5
2024-04-11,94330,hold,0.5
2024-04-11,99840,hold,0.5
2024-04-25,40630,hold,0.6
2024-04-25,45680,hold,0.6
2024-04-25,65010,hold,0.6
2024-04-25,67580,hold,0.5
2024-04-25,68610,hold,0.548
2024-04-25,72030,hold,0.6
2024-04-25,80580,hold,0.569
2024-04-25,83060,hold,0.6
2024-04-25,94330,hold,0.6
2024-04-25,99840,hold,0.6
2024-05-14,40630,hold,0.6
2024-05-14,45680,hold,0.6
2024-05-14,65010,hold,0.59
2024-05-14,67580,hold,0.6
2024-05-14,68610,hold,0.526
2024-05-14,72030,hold,0.6
2024-05-14,80580,hold,0.6
2024-05-14,83060,hold,0.6
2024-05-14,94330,hold,0.553
2024-05-14,99840,hold,0.6
2024-05-28,40630,hold,0.512
2024-05-28,45680,hold,0.501
2024-05-28,65010,hold,0.6
2024-05-28,67580,hold,0.6
2024-05-28,68610,hold,0.6
2024-05-28,72030,hold,0.526
2024-05-28,80580,hold,0.563
2024-05-28,83060,hold,0.6
2024-05-28,94330,hold,0.529
2024-05-28,99840,hold,0.6
2024-06-11,40630,hold,0.6
2024-06-11,45680,hold,0.6
2024-06-11,65010,hold,0.6
2024-06-11,67580,hold,0.5
2024-06-11,68610,hold,0.6
2024-06-11,72030,hold,0.6
2024-06-11,80580,hold,0.573
2024-06-11,83060,hold,0.6
2024-06-11,94330,hold,0.6
2024-06-11,99840,hold,0.6
2024-06-25,40630,hold,0.542
2024-06-25,45680,hold,0.6
2024-06-25,65010,hold,0.6
2024-06-25,67580,hold,0.6
2024-06-25,68610,hold,0.6
2024-06-25,72030,hold,0.6
2024-06-25,80580,hold,0.6
2024-06-25,83060,hold,0.6
2024-06-25,94330,hold,0.6
2024-06-25,99840,hold,0.6
2024-07-09,40630,hold,0.6
2024-07-09,45680,hold,0.6
2024-07-09,65010,hold,0.6
2024-07-09,67580,hold,0.6
2024-07-09,68610,hold,0.6
2024-07-09,72030,hold,0.6
2024-07-09,80580,hold,0.579
2024-07-09,83060,hold,0.6
2024-07-09,94330,hold,0.6
2024-07-09,99840,hold,0.6
2024-07-24,40630,hold,0.6
2024-07-24,45680,hold,0.6
2024-07-24,65010,hold,0.6
2024-07-24,67580,hold,0.6
2024-07-24,68610,hold,0.6
2024-07-24,72030,hold,0.6
2024-07-24,80580,hold,0.6
2024-07-24,83060,hold,0.6
2024-07-24,94330,hold,0.549
2024-07-24,99840,hold,0.6
2024-08-06,68610,sell,0.845
2024-08-07,40630,hold,0.6
2024-08-07,45680,hold,0.6
2024-08-07,65010,hold,0.512
2024-08-07,67580,hold,0.6
2024-08-07,68610,hold,0.6
2024-08-07,72030,hold,0.6
2024-08-07,80580,hold,0.6
2024-08-07,83060,hold,0.6
2024-08-07,94330,hold,0.6
2024-08-07,99840,hold,0.6
2024-08-15,83060,sell,0.891
2024-08-16,99840,sell,0.99
2024-08-22,40630,hold,0.6
2024-08-22,45680,hold,0.6
2024-08-22,65010,hold,0.6
2024-08-22,67580,sell,0.804
2024-08-22,68610,hold,0.6
2024-08-22,72030,hold,0.523
2024-08-22,80580,hold,0.6
2024-08-22,83060,hold,0.556
2024-08-22,94330,hold,0.6
2024-08-22,99840,hold,0.6
2024-08-23,65010,sell,0.935
2024-09-03,40630,sell,0.6
2024-09-05,40630,hold,0.6
2024-09-05,45680,hold,0.6
2024-09-05,65010,hold,0.6
2024-09-05,67580,hold,0.6
2024-09-05,68610,hold,0.6
2024-09-05,72030,hold,0.6
2024-09-05,80580,hold,0.6
2024-09-05,83060,hold,0.6
2024-09-05,94330,hold,0.6
2024-09-05,99840,hold,0.6
2024-09-13,65010,buy,0.889
2024-09-19,45680,sell,0.886
2024-09-20,40630,hold,0.6
2024-09-20,45680,hold,0.6
2024-09-20,65010,hold,0.6
2024-09-20,67580,hold,0.563
2024-09-20,68610,hold,0.6
2024-09-20,72030,hold,0.6
2024-09-20,80580,hold,0.6
2024-09-20,83060,hold,0.6
2024-09-20,94330,hold,0.537
2024-09-20,99840,hold,0.559
2024-09-26,67580,buy,0.99
2024-10-07,40630,hold,0.6
2024-10-07,45680,hold,0.6
2024-10-07,65010,hold,0.6
2024-10-07,67580,hold,0.6
2024-10-07,68610,hold,0.6
2024-10-07,72030,hold,0.6
2024-10-07,80580,hold,0.6
2024-10-07,83060,hold,0.6
2024-10-07,94330,hold,0.6
2024-10-07,99840,hold,0.6
2024-10-10,67580,sell,0.632
2024-10-16,67580,buy,0.608
2024-10-22,40630,hold,0.6
2024-10-22,45680,hold,0.6
2024-10-22,65010,hold,0.6
2024-10-22,67580,hold,0.6
2024-10-22,68610,hold,0.6
2024-10-22,72030,hold,0.531
2024-10-22,80580,hold,0.6
2024-10-22,83060,hold,0.525
2024-10-22,94330,hold,0.6
2024-10-22,99840,hold,0.6
2024-10-23,68610,buy,0.703
2024-10-29,99840,buy,0.729
2024-11-01,83060,buy,0.872
2024-11-06,40630,hold,0.6
2024-11-06,45680,hold,0.6
2024-11-06,65010,hold,0.6
2024-11-06,67580,hold,0.6
2024-11-06,68610,hold,0.6
2024-11-06,72030,hold,0.544
2024-11-06,80580,hold,0.6
2024-11-06,83060,hold,0.6
2024-11-06,94330,hold,0.513
2024-11-06,99840,hold,0.6
2024-11-15,72030,buy,0.625
2024-11-18,68610,sell,0.807
2024-11-20,40630,hold,0.537
2024-11-20,45680,hold,0.6
2024-11-20,65010,hold,0.6
2024-11-20,67580,hold,0.6
2024-11-20,68610,hold,0.525
2024-11-20,72030,hold,0.6
2024-11-20,80580,hold,0.518
2024-11-20,83060,hold,0.6
2024-11-20,94330,hold,0.51
2024-11-20,99840,hold,0.6
2024-12-04,40630,hold,0.537
2024-12-04,45680,hold,0.6
2024-12-04,65010,hold,0.6
2024-12-04,67580,hold,0.6
2024-12-04,68610,hold,0.6
2024-12-04,72030,hold,0.6
2024-12-04,80580,hold,0.6
2024-12-04,83060,hold,0.6
2024-12-04,94330,hold,0.567
2024-12-04,99840,hold,0.51
2024-12-18,285A0,hold,0.5
2024-12-18,40630,hold,0.6
2024-12-18,45680,hold,0.6
2024-12-18,65010,hold,0.6
2024-12-18,67580,hold,0.6
2024-12-18,68610,hold,0.596
2024-12-18,72030,hold,0.6
2024-12-18,80580,hold,0.6
2024-12-18,83060,hold,0.6
2024-12-18,94330,hold,0.547
2024-12-18,99840,hold,0.6
2025-01-07,285A0,hold,0.6
2025-01-07,40630,hold,0.576
2025-01-07,45680,hold,0.522
2025-01-07,65010,hold,0.6
2025-01-07,67580,hold,0.587
2025-01-07,68610,hold,0.6
2025-01-07,72030,hold,0.6
2025-01-07,80580,hold,0.6
2025-01-07,83060,hold,0.6
2025-01-07,94330,hold,0.534
2025-01-07,99840,hold,0.6
2025-01-17,65010,sell,0.934
2025-01-22,285A0,hold,0.539
2025-01-22,40630,hold,0.6
2025-01-22,45680,hold,0.6
2025-01-22,65010,hold,0.6
2025-01-22,67580,hold,0.6
2025-01-22,68610,hold,0.6
2025-01-22,72030,hold,0.54
2025-01-22,80580,hold,0.6
2025-01-22,83060,hold,0.559
2025-01-22,94330,hold,0.531
2025-01-22,99840,hold,0.6
2025-02-05,285A0,hold,0.6
2025-02-05,40630,hold,0.6
2025-02-05,45680,hold,0.6
2025-02-05,65010,hold,0.6
2025-02-05,67580,hold,0.567
2025-02-05,68610,hold,0.6
2025-02-05,72030,hold,0.59
2025-02-05,80580,hold,0.573
2025-02-05,83060,hold,0.6
2025-02-05,94330,hold,0.6
2025-02-05,99840,hold,0.6
2025-02-18,65010,buy,0.99
2025-02-19,68610,buy,0.526
2025-02-20,285A0,hold,0.6
2025-02-20,40630,hold,0.6
2025-02-20,45680,hold,0.6
